id,type,text1,text2,text3,text4,notes
Meng_MingGod_Spacedamage,SHIP_SYSTEM,冥河引导“冥”震动被其注视者附近的空间，对所有完全进入视界的常规舰船投射一道空间裂缝，造成巨额伤害。,,,,
# COMMODITY,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# MARKETS,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# FACTION,,,,,,
Meng_temple,FACTION,"余烬圣殿是长久隐藏于暗处的势力，在C+204年，一场在其内部爆发的""莫德事变""，终于让这一神秘组织浮现在大众眼前。
根据其内部有限的“圣殿史录”的记载，这一组织始源于大长老Luciflux在C+180年建立的“朝圣议会”，作为一个高层组织长期存在，并暗中吸纳着经过特殊验证的各大势力上层人员，导致当前诸多势力仍有高层曾是其中的一员。直到第二次AI战争爆发，由于Luciflux与其手下的技术官掌握的诸多不可思议的技术，朝圣议会的规模空前扩大，并终于达到Luciflux所宣言的“主的代行者”的极数，拥有29位议员的朝圣议会正式成立组织，并制订了严格的法律与阶级制度，在远离战场中心的星系一角成立了科技宗教势力“余烬圣殿”。朝圣议会也作为教廷国度圣殿的权力核心，正式更名为“长老院”。

圣殿是一个宗教佣兵组织，其佣兵性质体现在外围人员，大部分人口由后勤部门和低级佣兵组成，公民接受圣殿发布的任务，按贡献划分等级，并获取相应的权利，但无权进入核心。圣殿核心是由长老院与各大研究院组成的，圣殿信奉神明，也因此崇拜科学，绝大部分核心高层同时也是高级研究人员，他们怀揣着不同的目的，却同样的虔诚于教典中的神明，与其所代表的神迹。

这一组织的核心理念是科技至圣，其发布的任务杂乱而富有某些共同的目的，但只有一项是内外成员所周知的————圣殿组织坚信未来某种审判即将到来，因此他们所有的行动，都是为了完成阻止这一灾难的使命。

然而，这令人无法相信的灾难为何凭空出现，圣殿核心成员却从未向外界提及......",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
